HRDLST	ecDNA	CHR	WGDearly	WGDlate
08AP3D	0.169688719699186	0.0146537561369141	0.787916320513784	0.0277412036501156	0
09Q1YY	0.22677945208507	0.0219535390148987	0.731129321672582	0	0.0201376872274484
0K0K6I	0.466147780730636	0.00772182385897119	0.419151988520076	0.0559973330126514	0.0509810738776654
0O0FKV	0.309761574244341	0	0.560853087467745	0.0654883080252831	0.0638970302626306
0PP4HU	0.292164466914073	0.00348819671226016	0.669196878934432	0.0149159093674619	0.0202345480717726
0RRCD7	0.0803010642393036	0.0881197866285608	0.820263426692734	0	0.0113157224394018
0Y83ZZ	0.340034567626459	0.0268168235651547	0.519008220148304	0.0652933999908303	0.0488469886692525
1ABOG0	0.0832087242665993	0.0531476093735297	0.852622301588539	0.0095214310930462	0.0014999336782859
1GQP1N	0	0.167115704448414	0.673850087504068	0.0600249696291732	0.0990092384183449
1I9HPM	0.168802407023118	0.0189629479774026	0.791162150518978	0.0210724944805013	0
1LVWVN	0	0.11319414165679	0.804087234673723	0.0722833055607149	0.0104353181087718
1PEUBB	0.0782290513910618	0.1043966909118	0.811260919003609	0	0.00611333869352885
1XGK99	0	0.043950300936596	0.875846543807388	0.0802031552560159	0
28WX4I	0.16494633604321	0.0393767915422815	0.773797441230864	0	0.0218794311836438
2A66UX	0.317374643432271	0.0599487091732396	0.607368868223267	0	0.015307779171223
2DT106	0.0597082038099168	0.0657721175452606	0.867325570175106	0.00719410846971646	0
2E8Q8T	0.436927207369403	0.0491939899693963	0.496375890704286	0	0.0175029119569154
2JN637	0.0418345099087589	0.0350102539835891	0.917495398692859	0.00565983741479346	0
2JUKYD	0.0382747171683276	0.0337278419046317	0.92290871957813	0.00508872134891114	0
2RGNOA	0.0536669745366099	0.0128270823994888	0.910864097271485	0.0226418457924166	0
2TKTM9	0.0830031919476571	0.11882167033464	0.792445009164421	0	0.00573012855328278
2TX961	0.349683315078139	0.0250763867882899	0.587828346926928	0	0.0374119512066439
3JB6NB	0.283324389258668	0.00933203299885054	0.669405341908189	0	0.0379382358342928
3PUS8R	0.0140037209825453	0.0983569169643867	0.790051291931934	0.0853184546911831	0.0122696154299505
3VEY4N	0.0317446197939175	0.0219960103655554	0.931354494319624	0.0149048755209032	0
46KM78	0	0.0493168592017513	0.807838280558586	0.0911960948413615	0.0516487653983009
46M89C	0	0.0325422211063682	0.679023755892257	0.0477546492577728	0.240679373743602
4EKYAX	0.0563038603750138	0.118447468028988	0.818190059234396	0	0.0070586123616028
4VMWJF	0.108907161246771	0.0181819360903895	0.747264126963035	0.0831162519700675	0.0425305237297369
4W2093	0.000148549362712	0.0994882389707846	0.771471612072473	0.0680675746716596	0.0608240249223711
4YWOHH	0.21193692050128	0.00975469731816027	0.75774323883647	0	0.0205651433440901
53W44O	0	0	0.898944892111477	0.101055107888523	0
5D2XYU	0.25674491231005	0.0522609672778524	0.677284742369864	0	0.0137093780422335
5SDACW	0.0181300106770297	0.0171190722550628	0.951967896884292	0.012783020183616	0
5W69KE	0.386886850322184	0	0.495188677112448	0.0582853000607741	0.0596391725045938
5WIAQV	0	0.05128731167511	0.841185524769277	0.102148885838214	0.00537827771739928
5YGREJ	0.628190842618457	0	0.282713149560661	0.0468895949560481	0.0422064128648336
60WVKM	0.247475008394555	0.0179998025036062	0.608294161994729	0.0702725388622703	0.0559584882448386
65HW3T	0	0.0478757610917984	0.852922483017509	0.099201755890693	0
65VX5F	0.226328868579883	0.0236756920205985	0.746236702512088	0.00037087111847191	0.00338786576895826
6EQIMT	0.133000120264726	0.067356092216256	0.790253674699755	0.00939011281926313	0
6ETQPX	0.335118600908037	0.0192462727279575	0.604717073420675	0	0.0409180529433303
6G9GEN	0.36807225780168	0.00701328992362515	0.575280278460536	0	0.0496341738141592
6R2L4K	0.335700044466895	0	0.523588868972599	0.0684236892126873	0.0722873973478187
6R6OKA	0.0701771087724225	0.00460358382256517	0.446914496198124	0	0.478304811206889
6UI8OJ	0.0383597022088366	0.0271838235591993	0.934456474231964	0	0
74YE04	0.296751645334294	0	0.605718692792916	0.0712564103580922	0.0262732515146977
77E4B9	0.0658739477393268	0.114644781143796	0.679469083378001	0.0618681597940434	0.078144027944832
7FDMAA	0.0290950730201509	0.0455552254257401	0.922941748183742	0.0024079533703666	0
7PJ0U8	0.0349037299099828	0	0.483104379335152	0	0.481991890754865
7V68FX	0.368205599323261	0.00472966100764481	0.562117119880096	0	0.0649476197889977
7Y58DN	0.0822829374739427	0.0655379080538126	0.844026046151758	0	0.00815310832048642
7YCX5X	0.0653695875325483	0.0475861892882959	0.868364924146099	0	0.018679299033057
82IOF9	0.317943545300715	0	0.583863722225261	0.0693438727617579	0.028848859712266
83OKRW	0.407364571191407	0.0124011320476697	0.437324658224539	0.0547904722653288	0.0881191662710557
8GUH8A	0	0.00834614741174121	0.984869192020245	0.00678466056801383	0
8GWKR4	0.0898961109627576	0.0585655284203758	0.837779387892813	0	0.0137589727240536
8LDMB8	0.210898416285679	0	0.683538240931898	0.0826628488160269	0.0229004939663964
8QWJS5	0.0557531124723745	0.106511734512243	0.707911523100134	0.0661099204580662	0.0637137094571824
8RQI7O	0	0.0313315442407947	0.859190007911003	0.109478447848202	0
8ST3A8	0.021493923304682	0.113591538681355	0.76196761763312	0.0732964921488066	0.0296504282320365
8TTEZK	0	0.00999039293680507	0.892682046681211	0.0973275603819843	0
919YH2	0.00402026431809172	0.000199452528021185	0.891377255999356	0.104403027154531	0
92L4ID	0.274420886271992	0.0412894982856222	0.558318553768825	0.0609047106539163	0.0650663510196449
99G89B	0	0	0.882785385074269	0.111483439049695	0.00573117587603594
9MYJZI	0.22362902933626	0.0713157887174753	0.689019582934178	0	0.0160355990120864
A1V6AN	0.175954469786479	0.0208206423988219	0.777441431548543	0.0257834562661567	0
A6VXVK	0.0375759377234418	0.0268715010314839	0.916403347972989	0.0191492132720849	0
AA9MG9	0.28108351466822	0.0601796310981823	0.65262462843609	0	0.00611222579750716
